lemma	top	first_tag
barbies	Z	Z3f
barbour	B	B5/Z3c
barbuda	Z	Z2
barbudans	Z	Z2/S2mf
barcelona	Z	Z2
barclay	Z	Z3c
barclaycard	I	I1.1/O2/Q1.1
barclays	Z	Z3c
barco	Z	Z1mf
bardot	Z	Z1mf
barents	Z	Z2
bari	Z	Z2
barker	Z	Z1mf
barlow	Z	Z1mf
barnabus	Z	Z1m
barnados	Z	Z3c
barnard	Z	Z1mf
barnardo	Z	Z1mf
barnardos	Z	Z3c
barnes	Z	Z2
barnesandnoble.com	Z	Z3c/Y2
barnet	Z	Z2
barnett	Z	Z1mf
